FechaCaja;NroCaja;Descripcion;Suma de Cantidad; Suma de Precio 
;366624;ACDC Doble;4; $ 59.200,00 
;;ACDC Triple;1; $ 18.100,00 
;;Agua 500cc;1; $ 2.100,00 
;;Aros de Cebolla 6 unid.;; $ 9.600,00 
;;AROS DE CEBOLLA X 12 + PAPAS + BBQ;1; $ 7.600,00 
;;Beatle Doble 220g ;5; $ 71.000,00 
;;BIZZARAP session #2;3; $ 27.900,00 
;;cambio x dip cheddar;; $ 900,00 
;;Cerveza Andes IPA;4; $ 12.000,00 
;;Charly  Triple 330g;1; $ 16.800,00 
;;Charly Doble 220g ;2; $ 27.000,00 
;;Charly Simple 110g;3; $ 31.500,00 
;;CHOCOTORTA;1; $ 4.200,00 
;;Clasic Doble 220g;8; $ 103.200,00 
;;Clasic Simple 110g ;8; $ 79.200,00 
;;Clasic Triple 330g;4; $ 64.800,00 
;;Coca Cola 1.5 Lts;2; $ 8.600,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;dip de barbacoa;; $ 2.000,00 
;;dip de cheddar;; $ 5.400,00 
;;ENVIO;; $ 62.400,00 
;;Freestyle;1; $ 19.200,00 
;;Gorillaz Doble;5; $ 76.500,00 
;;Gorillaz simple ;1; $ 12.300,00 
;;HC doble;2; $ 31.200,00 
;;HC TRIPLE;1; $ 18.900,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );1; $ 6.700,00 
;;LATON HEINEKEN;3; $ 15.000,00 
;;Levite de Manzana 1.5 lts;1; $ 2.800,00 
;;Levite de POMELO 1,5 L;2; $ 5.600,00 
;;Mala Fama Doble 220g;5; $ 78.000,00 
;;Mala Fama Simple 110g ;1; $ 12.600,00 
;;NUGGETS X12 + PAPAS + BBQ;6; $ 48.000,00 
;;Nugget's X6 ;; $ 16.800,00 
;;Papas con Cheddar;1; $ 11.600,00 
;;Papas Mercury;2; $ 21.800,00 
;;PAPAS QUEEN;4; $ 31.200,00 
;;Papas Queen ;; $ 11.200,00 
;;PROMO 1 -- 4 X Classic simple;6; $ 145.200,00 
;;PROMO 2-- 2 x Charly doble ;6; $ 126.600,00 
;;Red Hot DOBLE;1; $ 14.400,00 
;;RESIDENTE DOBLE;2; $ 31.200,00 
;;RESIDENTE SIMPLE;2; $ 25.200,00 
;;RIHANNA ;2; $ 18.800,00 
;;Rolling Stone Doble 220g;1; $ 13.900,00 
;;SPRITE 500 ml ;2; $ 4.800,00 
;;STELLA ARTOIS 464ml;4; $ 14.800,00 
;;TIRAMISU;1; $ 4.200,00 
;;Duko Simple;2; $ 23.400,00 
;;Duko Doble;7; $ 102.900,00 
;;Duko Triple 330g ;2; $ 36.000,00 
;;NIRVANA 2;5; $ 67.500,00 
;;Porcion Extra de Papas Medianas;; $ 8.000,00 
;;John Lennon XL;2; $ 44.000,00 
;;Michael Jackson Mediana;1; $ 18.000,00 
;;Pink Floyd XL;3; $ 75.000,00 
;;Creedence XL;2; $ 54.000,00 
;;Empanada de Carne;3; $ 7.500,00 
;;Elvis Presley XL;2; $ 68.000,00 
;;6 empanadas;2; $ 26.000,00 
;;12 empanadas;1; $ 25.000,00 
;;3 empanadas;1; $ 7.000,00 
;;EXTRA CHEDDAR ;; $ 3.000,00 
9/1/2026;366625;ACDC Simple ;2; $ 23.600,00 
;;ACDC Triple;2; $ 36.200,00 
;;Alma Fuerte ;2; $ 24.000,00 
;;AMERICANO + levite;1; $ 6.000,00 
;;Aros de Cebolla 6 unid.;; $ 3.200,00 
;;Beatle Doble 220g ;1; $ 14.200,00 
;;Bob Marley Doble ;1; $ 13.700,00 
;;Bob marley Simple;2; $ 21.400,00 
;;cambio x dip cheddar;; $ 1.800,00 
;;Clasic Doble 220g;8; $ 103.200,00 
;;Clasic Simple 110g ;1; $ 9.900,00 
;;COCA 500 ml;1; $ 2.400,00 
;;Coca Cola 1.5 Lts;2; $ 8.600,00 
;;ENVIO;; $ 19.500,00 
;;FERNET ;3; $ 21.000,00 
;;franui Chocolate semiamargo + chocolate blanco;1; $ 9.000,00 
;;Freestyle;2; $ 38.400,00 
;;GIN TONIC;1; $ 7.500,00 
;;HC doble;1; $ 15.600,00 
;;LADY GAGA;1; $ 9.400,00 
;;LEVITE 500ml;1; $ 2.100,00 
;;NUGGETS X12 + PAPAS + BBQ;2; $ 16.000,00 
;;Nugget's X6 ;; $ 5.600,00 
;;Papas con Cheddar;1; $ 9.600,00 
;;PAPAS QUEEN;2; $ 15.600,00 
;;PROMO 2-- 2 x Charly doble ;1; $ 21.100,00 
;;RESIDENTE SIMPLE;1; $ 12.600,00 
;;RIHANNA ;1; $ 9.400,00 
;;Duko Doble;1; $ 14.700,00 
;;Beatle Triple ;2; $ 35.000,00 
;;Lata Schweppes Pomelo Zero;2; $ 4.800,00 
;;Porcion Extra de Papas Medianas;; $ 4.000,00 
;366626;2 tostados CLASSIC;1; $ 8.300,00 
;;ACDC Doble;6; $ 88.800,00 
;;ACDC Simple ;1; $ 11.800,00 
;;ACDC Triple;1; $ 18.100,00 
;;Agua 500cc;2; $ 4.200,00 
;;Alma Fuerte ;4; $ 48.000,00 
;;Andes Rubia;2; $ 6.000,00 
;;Aros de Cebolla 6 unid.;; $ 16.000,00 
;;Beatle Doble 220g ;3; $ 42.600,00 
;;Beatle Simple 110g ;3; $ 33.600,00 
;;BIZARRAP Session #1 ;1; $ 9.300,00 
;;BIZZARAP session #2;2; $ 18.600,00 
;;Bob Marley Doble ;2; $ 27.400,00 
;;Bob Marley Triple;1; $ 17.000,00 
;;Charly  Triple 330g;2; $ 33.600,00 
;;Charly Doble 220g ;8; $ 108.000,00 
;;Charly Simple 110g;4; $ 42.000,00 
;;Clasic Doble 220g;21; $ 270.900,00 
;;Clasic Simple 110g ;22; $ 217.800,00 
;;Clasic Triple 330g;4; $ 64.800,00 
;;COCA 500 ml;1; $ 2.400,00 
;;Coca Cola 1.5 Lts;9; $ 38.700,00 
;;Coca Cola Zero 1.5 Lts;2; $ 8.600,00 
;;dip de barbacoa;; $ 3.000,00 
;;dip de cheddar;; $ 10.800,00 
;;Eminem;3; $ 47.100,00 
;;ENVIO;; $ 127.400,00 
;;FERNET ;2; $ 14.000,00 
;;franui Chocolate con leche + chocolate blanco;3; $ 27.000,00 
;;Freestyle;5; $ 96.000,00 
;;Fried Onion Simple 110g ;1; $ 11.400,00 
;;Gorillaz Doble;3; $ 45.900,00 
;;Gorillaz simple ;1; $ 12.300,00 
;;Gorillaz Triple;1; $ 18.600,00 
;;HC doble;6; $ 93.600,00 
;;HC simple;3; $ 37.800,00 
;;HC TRIPLE;1; $ 18.900,00 
;;HIP HOP;1; $ 20.500,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );2; $ 13.400,00 
;;KISS DOBLE;1; $ 14.500,00 
;;KISS SIMPLE;2; $ 23.000,00 
;;LADY GAGA;1; $ 9.400,00 
;;Levite de Manzana 1.5 lts;2; $ 5.600,00 
;;Levite de POMELO 1,5 L;1; $ 2.800,00 
;;Mala Fama Doble 220g;8; $ 124.800,00 
;;Mala Fama Simple 110g ;5; $ 63.000,00 
;;Mala Fama Triple 330g ;2; $ 37.800,00 
;;NUGGETS X12 + PAPAS + BBQ;5; $ 40.000,00 
;;Nugget's X6 ;; $ 56.000,00 
;;Papas con Cheddar;7; $ 81.200,00 
;;PAPAS QUEEN;9; $ 70.200,00 
;;Papas Queen ;; $ 36.400,00 
;;PATRICIO REY DOBLE;1; $ 15.000,00 
;;PROMO 1 -- 4 X Classic simple;7; $ 169.400,00 
;;PROMO 2-- 2 x Charly doble ;16; $ 337.600,00 
;;Red Hot DOBLE;4; $ 57.600,00 
;;Red Hot Simple 110g ;5; $ 57.000,00 
;;Red Hot Triple 330g ;1; $ 17.700,00 
;;RESIDENTE DOBLE;8; $ 124.800,00 
;;RESIDENTE SIMPLE;3; $ 37.800,00 
;;RIHANNA ;3; $ 28.200,00 
;;Rolling Stone Doble 220g;1; $ 13.900,00 
;;STELLA ARTOIS 464ml;2; $ 7.400,00 
;;techno Chicken;1; $ 9.500,00 
;;TIRAMISU;4; $ 16.800,00 
;;Duko Simple;1; $ 11.700,00 
;;Duko Doble;14; $ 205.800,00 
;;Duko Triple 330g ;1; $ 18.000,00 
;;Porcion de Faina;; $ 3.000,00 
;;NIRVANA  ;2; $ 26.800,00 
;;Porcion Extra de Papas Medianas;; $ 18.000,00 
;;John Lennon Mediana;5; $ 80.000,00 
;;John Lennon XL;3; $ 66.000,00 
;;Michael Jackson Mediana;3; $ 54.000,00 
;;Pink Floyd Mediana;5; $ 95.000,00 
;;Pink Floyd XL;2; $ 50.000,00 
;;Creedence Mediana ;3; $ 63.000,00 
;;Empanada de Carne;6; $ 15.000,00 
;;Empanada de Pollo;7; $ 17.500,00 
;;Empanada de Jamon y Queso;10; $ 25.000,00 
;;Elvis Presley MEDIANA;1; $ 27.000,00 
;;Elvis Presley XL;1; $ 34.000,00 
;;6 empanadas;2; $ 26.000,00 
;;3 empanadas;4; $ 28.000,00 
10/1/2026;367626;ACDC Doble;1; $ 14.800,00 
;;Aros de Cebolla 6 unid.;; $ 3.200,00 
;;BIZZARAP session #2;1; $ 9.300,00 
;;Clasic Doble 220g;1; $ 12.900,00 
;;Clasic Simple 110g ;1; $ 9.900,00 
;;ENVIO;; $ 9.100,00 
;;Fried Onion Simple 110g ;1; $ 11.400,00 
;;HC simple;1; $ 12.600,00 
;;HIP HOP;1; $ 20.500,00 
;;LADY GAGA;1; $ 9.400,00 
;;Papas con Cheddar;; $ 2.000,00 
;;PAPAS QUEEN;1; $ 7.800,00 
;;PROMO 2-- 2 x Charly doble ;3; $ 63.300,00 
;;Red Hot DOBLE;1; $ 14.400,00 
;;RESIDENTE SIMPLE;2; $ 25.200,00 
;;RIHANNA ;2; $ 18.800,00 
;;Rolling Stone Doble 220g;1; $ 13.900,00 
;;Sprite 1.5L;1; $ 4.300,00 
;367627;ACDC Doble;6; $ 88.800,00 
;;ACDC Simple ;2; $ 23.600,00 
;;Agua 500cc;3; $ 6.300,00 
;;Alma Fuerte ;3; $ 36.000,00 
;;Andes Rubia;1; $ 3.000,00 
;;Aros de Cebolla 6 unid.;; $ 22.400,00 
;;Beatle Doble 220g ;6; $ 85.200,00 
;;Beatle Simple 110g ;4; $ 44.800,00 
;;BIZARRAP Session #1 ;1; $ 9.300,00 
;;BIZZARAP session #2;3; $ 27.900,00 
;;cambio x dip cheddar;; $ 1.800,00 
;;Cerveza Andes IPA;5; $ 15.000,00 
;;Charly  Triple 330g;1; $ 16.800,00 
;;Charly Doble 220g ;10; $ 135.000,00 
;;Charly Simple 110g;5; $ 52.500,00 
;;CHOCOTORTA;1; $ 4.200,00 
;;Clasic Doble 220g;34; $ 438.600,00 
;;Clasic Simple 110g ;31; $ 306.900,00 
;;Clasic Triple 330g;4; $ 64.800,00 
;;COCA 500 ml;1; $ 2.400,00 
;;Coca Cola 1.5 Lts;7; $ 30.100,00 
;;dip de barbacoa;; $ 1.000,00 
;;dip de cheddar;; $ 13.500,00 
;;Eminem;3; $ 47.100,00 
;;ENVIO;; $ 131.300,00 
;;GANCIA;2; $ 14.000,00 
;;Gorillaz Doble;1; $ 15.300,00 
;;Gorillaz simple ;5; $ 61.500,00 
;;HC doble;12; $ 187.200,00 
;;HC simple;1; $ 12.600,00 
;;HIP HOP;1; $ 20.500,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );3; $ 20.100,00 
;;KISS DOBLE;2; $ 29.000,00 
;;KISS SIMPLE;2; $ 23.000,00 
;;LATON HEINEKEN;2; $ 10.000,00 
;;LEVITE 500ml;1; $ 2.100,00 
;;Levite de Manzana 1.5 lts;2; $ 5.600,00 
;;Mala Fama Doble 220g;11; $ 171.600,00 
;;Mala Fama Simple 110g ;6; $ 75.600,00 
;;Mala Fama Triple 330g ;1; $ 18.900,00 
;;NUGGETS X12 + PAPAS + BBQ;6; $ 48.000,00 
;;Nugget's X6 ;; $ 47.600,00 
;;Papas con Cheddar;2; $ 49.200,00 
;;Papas Mercury;1; $ 10.900,00 
;;PAPAS QUEEN;6; $ 46.800,00 
;;Papas Queen ;; $ 39.200,00 
;;PATRICIO REY DOBLE;5; $ 75.000,00 
;;PATRICIO REY SIMPLE;1; $ 12.000,00 
;;PROMO 1 -- 4 X Classic simple;11; $ 266.200,00 
;;PROMO 2-- 2 x Charly doble ;20; $ 422.000,00 
;;Red Hot DOBLE;5; $ 72.000,00 
;;Red Hot Simple 110g ;1; $ 11.400,00 
;;Red Hot Triple 330g ;1; $ 17.700,00 
;;RESIDENTE DOBLE;8; $ 124.800,00 
;;RESIDENTE SIMPLE;8; $ 100.800,00 
;;RIHANNA ;1; $ 9.400,00 
;;Rolling Stone Doble 220g;3; $ 41.700,00 
;;Rolling Stone Simple 110g ;1; $ 10.900,00 
;;Sprite 1.5L;2; $ 8.600,00 
;;SPRITE 500 ml ;2; $ 4.800,00 
;;techno Chicken;1; $ 9.500,00 
;;Techno Chicken DOBLE ;1; $ 12.500,00 
;;Duko Simple;8; $ 93.600,00 
;;Duko Doble;18; $ 264.600,00 
;;Duko Triple 330g ;2; $ 36.000,00 
;;Rolling Stone Triple;1; $ 17.200,00 
;;Porcion de Faina;; $ 6.000,00 
;;NIRVANA  ;2; $ 26.800,00 
;;NIRVANA 2;4; $ 54.000,00 
;;Porcion Extra de Papas Medianas;; $ 18.000,00 
;;John Lennon Mediana;4; $ 64.000,00 
;;John Lennon XL;3; $ 66.000,00 
;;Pink Floyd Mediana;2; $ 38.000,00 
;;Pink Floyd XL;4; $ 100.000,00 
;;Creedence XL;3; $ 81.000,00 
;;Creedence Mediana ;1; $ 21.000,00 
;;Empanada de Carne;2; $ 5.000,00 
;;Empanada de Jamon y Queso;5; $ 12.500,00 
;;6 empanadas;1; $ 13.000,00 
;;12 empanadas;2; $ 50.000,00 
;;3 empanadas;1; $ 7.000,00 
11/1/2026;367628;ACDC Doble;5; $ 74.000,00 
;;ACDC Simple ;2; $ 23.600,00 
;;Agua 500cc;3; $ 6.300,00 
;;Alma Fuerte ;1; $ 12.000,00 
;;Aros de Cebolla 6 unid.;; $ 16.000,00 
;;AROS DE CEBOLLA X 12 + PAPAS + BBQ;2; $ 15.200,00 
;;Beatle Doble 220g ;1; $ 14.200,00 
;;Beatle Simple 110g ;3; $ 33.600,00 
;;BIZARRAP Session #1 ;3; $ 27.900,00 
;;BIZZARAP session #2;2; $ 18.600,00 
;;Bob marley Simple;1; $ 10.700,00 
;;cambio x dip cheddar;; $ 4.500,00 
;;Cerveza Andes IPA;1; $ 3.000,00 
;;Charly  Triple 330g;2; $ 33.600,00 
;;Charly Doble 220g ;5; $ 67.500,00 
;;Charly Simple 110g;6; $ 63.000,00 
;;Clasic Doble 220g;20; $ 258.000,00 
;;Clasic Simple 110g ;13; $ 128.700,00 
;;Clasic Triple 330g;8; $ 129.600,00 
;;COCA 500 ml;1; $ 2.400,00 
;;Coca Cola 1.5 Lts;7; $ 30.100,00 
;;dip de barbacoa;; $ 2.000,00 
;;dip de cheddar;; $ 2.700,00 
;;Eminem;1; $ 15.700,00 
;;ENVIO;; $ 124.800,00 
;;franui Chocolate con leche + chocolate blanco;3; $ 27.000,00 
;;franui Chocolate semiamargo + chocolate blanco;1; $ 9.000,00 
;;Freestyle;2; $ 38.400,00 
;;Fried Onion Doble 220g;2; $ 28.800,00 
;;Gorillaz Doble;4; $ 61.200,00 
;;Gorillaz simple ;1; $ 12.300,00 
;;HC doble;6; $ 93.600,00 
;;HC simple;2; $ 25.200,00 
;;Heineken 464ml;3; $ 11.100,00 
;;HIP HOP;4; $ 82.000,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );2; $ 13.400,00 
;;KISS SIMPLE;1; $ 11.500,00 
;;kiss triple;1; $ 17.800,00 
;;LADY GAGA;1; $ 9.400,00 
;;LATA Coca-Cola 357cc;1; $ 2.500,00 
;;LATON HEINEKEN;1; $ 5.000,00 
;;MADONNA veggie;1; $ 10.900,00 
;;MADONNA veggie DOBLE;2; $ 27.800,00 
;;Mala Fama Doble 220g;10; $ 156.000,00 
;;Mala Fama Simple 110g ;6; $ 75.600,00 
;;Mala Fama Triple 330g ;2; $ 37.800,00 
;;NUGGETS X12 + PAPAS + BBQ;17; $ 136.000,00 
;;Nugget's X6 ;; $ 30.800,00 
;;Papas con Cheddar;8; $ 112.800,00 
;;Papas Mercury;5; $ 54.500,00 
;;PAPAS QUEEN;9; $ 70.200,00 
;;Papas Queen ;; $ 78.400,00 
;;PATRICIO REY DOBLE;1; $ 15.000,00 
;;PATRICIO REY SIMPLE;1; $ 12.000,00 
;;PROMO 1 -- 4 X Classic simple;13; $ 314.600,00 
;;PROMO 2-- 2 x Charly doble ;17; $ 358.700,00 
;;Red Hot Simple 110g ;2; $ 22.800,00 
;;RESIDENTE DOBLE;7; $ 109.200,00 
;;RESIDENTE SIMPLE;1; $ 12.600,00 
;;RIHANNA ;4; $ 37.600,00 
;;Rolling Stone Doble 220g;3; $ 41.700,00 
;;Rolling Stone Simple 110g ;1; $ 10.900,00 
;;STELLA ARTOIS 464ml;3; $ 11.100,00 
;;Duko Simple;5; $ 58.500,00 
;;Duko Doble;12; $ 176.400,00 
;;Duko Triple 330g ;4; $ 72.000,00 
;;Beatle Triple ;4; $ 70.000,00 
;;NIRVANA  ;8; $ 107.200,00 
;;NIRVANA 2;2; $ 27.000,00 
;;Porcion Extra de Papas Medianas;; $ 8.000,00 
;;John Lennon Mediana;1; $ 16.000,00 
;;John Lennon XL;4; $ 88.000,00 
;;Michael Jackson Mediana;1; $ 18.000,00 
;;Pink Floyd Mediana;1; $ 19.000,00 
;;Creedence Mediana ;1; $ 21.000,00 
;;Empanada de Carne;2; $ 5.000,00 
;;Empanada de Pollo;2; $ 5.000,00 
;;Empanada de Jamon y Queso;2; $ 5.000,00 
;;Elvis Presley MEDIANA;1; $ 27.000,00 
;;6 empanadas;4; $ 52.000,00 
;;3 empanadas;2; $ 14.000,00 
;;EXTRA CHEDDAR ;; $ 1.500,00 
12/1/2026;368628;ACDC Doble;2; $ 29.600,00 
;;ACDC Simple ;2; $ 23.600,00 
;;ACDC Triple;1; $ 18.100,00 
;;Aros de Cebolla 6 unid.;; $ 9.600,00 
;;Beatle Doble 220g ;1; $ 14.200,00 
;;Beatle Simple 110g ;2; $ 22.400,00 
;;BIZZARAP session #2;2; $ 18.600,00 
;;Cerveza Andes IPA;1; $ 3.000,00 
;;CHOCOTORTA;2; $ 8.400,00 
;;Clasic Doble 220g;7; $ 90.300,00 
;;Clasic Simple 110g ;5; $ 49.500,00 
;;Clasic Triple 330g;2; $ 32.400,00 
;;Coca Cola 1.5 Lts;3; $ 12.900,00 
;;dip de cheddar;; $ 8.100,00 
;;ENVIO;; $ 49.400,00 
;;franui Chocolate con leche + chocolate blanco;1; $ 9.000,00 
;;Freestyle;3; $ 57.600,00 
;;Gorillaz Doble;1; $ 15.300,00 
;;HC doble;3; $ 46.800,00 
;;HC simple;1; $ 12.600,00 
;;HIP HOP;2; $ 41.000,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );1; $ 6.700,00 
;;KISS SIMPLE;1; $ 11.500,00 
;;LADY GAGA;1; $ 9.400,00 
;;Levite de Manzana 1.5 lts;1; $ 2.800,00 
;;MADONNA veggie DOBLE;1; $ 13.900,00 
;;Mala Fama Doble 220g;3; $ 46.800,00 
;;Mala Fama Simple 110g ;2; $ 25.200,00 
;;Mala Fama Triple 330g ;1; $ 18.900,00 
;;NUGGETS X12 + PAPAS + BBQ;1; $ 8.000,00 
;;Nugget's X6 ;; $ 11.200,00 
;;Papas con Cheddar;2; $ 23.200,00 
;;Papas Mercury;1; $ 10.900,00 
;;PAPAS QUEEN;7; $ 54.600,00 
;;PATRICIO REY DOBLE;1; $ 15.000,00 
;;PROMO 1 -- 4 X Classic simple;3; $ 72.600,00 
;;PROMO 2-- 2 x Charly doble ;4; $ 84.400,00 
;;Red Hot Simple 110g ;3; $ 34.200,00 
;;RESIDENTE DOBLE;2; $ 31.200,00 
;;STELLA ARTOIS 464ml;2; $ 7.400,00 
;;Duko Simple;3; $ 35.100,00 
;;Duko Doble;3; $ 44.100,00 
;;FANTA 500 ml;1; $ 2.400,00 
;;NIRVANA  ;1; $ 13.400,00 
;;Porcion Extra de Papas Medianas;; $ 10.000,00 
;;John Lennon Mediana;1; $ 16.000,00 
;;John Lennon XL;2; $ 44.000,00 
;;Pink Floyd Mediana;1; $ 19.000,00 
;;Pink Floyd XL;6; $ 150.000,00 
;;Creedence XL;1; $ 27.000,00 
;;Creedence Mediana ;1; $ 21.000,00 
;;Empanada de Carne;1; $ 2.500,00 
;;Empanada de Pollo;1; $ 2.500,00 
;;Empanada de Jamon y Queso;4; $ 10.000,00 
;;6 empanadas;3; $ 39.000,00 
;;12 empanadas;1; $ 25.000,00 
13/1/2026;369628;2 tostados AMERICANOS;1; $ 8.500,00 
;;AMERICANO + levite;1; $ 6.000,00 
;;Beatle Doble 220g ;1; $ 14.200,00 
;;CAMPARI;1; $ 7.000,00 
;;Charly Simple 110g;2; $ 21.000,00 
;;Clasic Doble 220g;3; $ 38.700,00 
;;Clasic Triple 330g;4; $ 64.800,00 
;;Coca Cola 1.5 Lts;2; $ 8.600,00 
;;Coca Cola Zero 1.5 Lts;1; $ 4.300,00 
;;ENVIO;; $ 13.000,00 
;;HC simple;1; $ 12.600,00 
;;LATON HEINEKEN;1; $ 5.000,00 
;;Levite de POMELO 1,5 L;1; $ 2.800,00 
;;Mala Fama Doble 220g;1; $ 15.600,00 
;;Papas con Cheddar;; $ 2.000,00 
;;RESIDENTE DOBLE;3; $ 46.800,00 
;;RESIDENTE SIMPLE;1; $ 12.600,00 
;;RIHANNA ;1; $ 9.400,00 
;;SPRITE 500 ml ;1; $ 2.400,00 
;;Duko Doble;2; $ 29.400,00 
;;Porcion Extra de Papas Medianas;; $ 4.000,00 
;;EXTRA CHEDDAR ;; $ 1.500,00 
;369629;ACDC Doble;2; $ 29.600,00 
;;ACDC Simple ;2; $ 23.600,00 
;;Agua 500cc;2; $ 4.200,00 
;;Alma Fuerte ;2; $ 24.000,00 
;;AROS DE CEBOLLA X 12 + PAPAS + BBQ;1; $ 7.600,00 
;;Beatle Doble 220g ;4; $ 56.800,00 
;;Beatle Simple 110g ;1; $ 11.200,00 
;;BIZARRAP Session #1 ;1; $ 9.300,00 
;;BIZZARAP session #2;1; $ 9.300,00 
;;Bob marley Simple;1; $ 10.700,00 
;;Cerveza Andes Roja;1; $ 3.000,00 
;;Charly Doble 220g ;3; $ 40.500,00 
;;Charly Simple 110g;2; $ 21.000,00 
;;Clasic Doble 220g;12; $ 154.800,00 
;;Clasic Simple 110g ;8; $ 79.200,00 
;;Clasic Triple 330g;2; $ 32.400,00 
;;COCA 500 ml;1; $ 2.400,00 
;;Coca Cola 1.5 Lts;3; $ 12.900,00 
;;Coca Cola Zero 1.5 Lts;2; $ 8.600,00 
;;dip de cheddar;; $ 10.800,00 
;;ENVIO;; $ 39.000,00 
;;FERNET ;2; $ 14.000,00 
;;Freestyle;1; $ 19.200,00 
;;GANCIA;1; $ 7.000,00 
;;Gorillaz Doble;2; $ 30.600,00 
;;Gorillaz Triple;1; $ 18.600,00 
;;HC doble;4; $ 62.400,00 
;;Heineken 464ml;1; $ 3.700,00 
;;KIDS ROCK  (Ricosaurio x 4+ papas );4; $ 26.800,00 
;;KISS DOBLE;1; $ 14.500,00 
;;KISS SIMPLE;1; $ 11.500,00 
;;LADY GAGA;2; $ 18.800,00 
;;LATON HEINEKEN;4; $ 20.000,00 
;;LEVITE 500ml;1; $ 2.100,00 
;;Levite de POMELO 1,5 L;2; $ 5.600,00 
;;MADONNA veggie;1; $ 10.900,00 
;;MADONNA veggie DOBLE;2; $ 27.800,00 
;;Mala Fama Doble 220g;4; $ 62.400,00 
;;Mala Fama Simple 110g ;9; $ 113.400,00 
;;NUGGETS X12 + PAPAS + BBQ;2; $ 16.000,00 
;;Nugget's X6 ;; $ 16.800,00 
;;Papas con Cheddar;1; $ 17.600,00 
;;Papas Mercury;1; $ 10.900,00 
;;PAPAS QUEEN;3; $ 23.400,00 
;;Papas Queen ;; $ 25.200,00 
;;PATRICIO REY DOBLE;1; $ 15.000,00 
;;PATRICIO REY SIMPLE;1; $ 12.000,00 
;;PROMO 1 -- 4 X Classic simple;5; $ 121.000,00 
;;PROMO 2-- 2 x Charly doble ;9; $ 189.900,00 
;;Red Hot DOBLE;1; $ 14.400,00 
;;Red Hot Simple 110g ;2; $ 22.800,00 
;;RESIDENTE DOBLE;3; $ 46.800,00 
;;RIHANNA ;5; $ 47.000,00 
;;Rolling Stone Doble 220g;1; $ 13.900,00 
;;Rolling Stone Simple 110g ;2; $ 21.800,00 
;;Sprite 1.5L;2; $ 8.600,00 
;;SPRITE 500 ml ;1; $ 2.400,00 
;;techno Chicken;1; $ 9.500,00 
;;Duko Simple;1; $ 11.700,00 
;;Duko Doble;1; $ 14.700,00 
;;NIRVANA  ;1; $ 13.400,00 
;;Porcion Extra de Papas Medianas;; $ 4.000,00 
14/1/2026;369630;Agua 500cc;1; $ 2.100,00 
;;AMERICANO + levite;1; $ 6.000,00 
;;Clasic Doble 220g;3; $ 38.700,00 
;;Clasic Simple 110g ;3; $ 29.700,00 
;;CLASICO + levite;1; $ 6.000,00 
;;Coca Cola 1.5 Lts;2; $ 8.600,00 
;;ENVIO;; $ 10.400,00 
;;LADY GAGA;2; $ 18.800,00 
;;Mala Fama Simple 110g ;1; $ 12.600,00 
;;MESA;;
;;Nugget's X6 ;; $ 2.800,00 
;;PAPAS QUEEN;2; $ 15.600,00 
;;PROMO 1 -- 4 X Classic simple;2; $ 48.400,00 
;;RESIDENTE SIMPLE;1; $ 12.600,00 
;;Techno Chicken DOBLE ;1; $ 12.500,00 
;;Duko Doble;1; $ 14.700,00 
;;Duko Triple 330g ;1; $ 18.000,00 
;;FANTA 500 ml;1; $ 2.400,00 
;369631;ACDC Doble;3; $ 44.400,00 
;;ACDC Triple;3; $ 54.300,00 
;;Agua 500cc;2; $ 4.200,00 
;;Andes Rubia;1; $ 3.000,00 
;;Aros de Cebolla 6 unid.;; $ 16.000,00 
;;Beatle Doble 220g ;1; $ 14.200,00 
;;Beatle Simple 110g ;1; $ 11.200,00 
;;BIZARRAP Session #1 ;1; $ 9.300,00 
;;Bob marley Simple;1; $ 10.700,00 
;;cambio x dip cheddar;; $ 1.800,00 
;;Cerveza Andes IPA;4; $ 12.000,00 
;;Cerveza Andes Roja;1; $ 3.000,00 
;;Charly Doble 220g ;7; $ 94.500,00 
;;Charly Simple 110g;4; $ 42.000,00 
;;Clasic Doble 220g;20; $ 258.000,00 
;;Clasic Simple 110g ;13; $ 128.700,00 
;;Clasic Triple 330g;4; $ 64.800,00 
;;CLASICO + levite;1; $ 6.000,00 
;;COCA 500 ml;2; $ 4.800,00 
;;Coca Cola 1.5 Lts;8; $ 34.400,00 
;;dip de cheddar;; $ 10.800,00 
;;Eminem;4; $ 62.800,00 
;;ENVIO;; $ 75.400,00 
;;FERNET ;1; $ 7.000,00 
;;franui Chocolate con leche + chocolate blanco;1; $ 9.000,00 
;;franui Chocolate semiamargo + chocolate blanco;1; $ 9.000,00 
;;Freestyle;2; $ 38.400,00 
;;Gorillaz Doble;6; $ 91.800,00 
;;Gorillaz Triple;1; $ 18.600,00 
;;HC doble;9; $ 140.400,00 
;;HC simple;1; $ 12.600,00 
;;HC TRIPLE;3; $ 56.700,00 
;;Heineken 464ml;1; $ 3.700,00 
;;KISS SIMPLE;1; $ 11.500,00 
;;LADY GAGA;4; $ 37.600,00 
;;LATA Coca-Cola 357cc;1; $ 2.500,00 
;;LATON HEINEKEN;1; $ 5.000,00 
